tpep_pickup_datetime,PULocationID,DOLocationID,trip_distance,passenger_count,fare_amount,congestion_surcharge
2024-04-26 16:25:10,259,209,4.64,1,16.29,0.0
2024-04-26 19:11:24,64,51,4.18,1,17.07,2.75
2024-04-28 06:32:10,42,145,1.3,1,7.09,2.75
2024-04-20 14:12:23,43,44,4.62,1,17.89,0.0
2024-04-02 06:37:48,125,107,1.7,1,3.06,0.0
2024-04-09 11:23:00,233,150,1.29,1,7.23,2.75
2024-04-26 20:41:29,132,94,5.31,1,20.13,2.75
2024-04-19 04:06:46,2,110,2.08,1,12.15,2.75
2024-04-24 04:27:54,115,18,3.45,1,9.97,2.75
2024-04-14 03:34:34,1,238,1.28,1,9.62,2.75
2024-04-27 07:12:35,65,239,3.83,1,13.33,0.0
2024-04-15 08:25:11,125,212,1.32,1,6.84,2.75
2024-04-04 05:16:07,256,231,1.14,1,7.81,2.75
2024-04-25 17:57:22,143,81,2.21,2,10.98,0.0
2024-04-04 19:29:25,246,255,5.96,1,16.93,0.0
2024-04-10 02:40:01,116,232,1.18,1,6.27,0.0
2024-04-16 20:40:55,90,209,0.94,1,3.2,2.75
2024-04-21 10:48:11,42,21,0.61,1,4.44,2.75
2024-04-04 18:51:09,35,238,2.38,2,8.42,2.75
2024-04-22 03:06:13,41,261,1.66,4,4.16,2.75
2024-04-10 03:55:43,124,150,1.71,1,5.6,2.75
2024-04-02 04:42:35,57,152,14.55,2,47.27,2.75
2024-04-15 14:45:52,235,61,1.26,2,6.97,2.75
2024-04-27 09:52:11,96,136,2.65,2,8.25,2.75
2024-04-17 03:47:05,132,12,15.53,1,47.94,0.0
2024-04-18 00:28:05,176,14,0.61,1,4.83,0.0
2024-04-12 10:50:36,52,30,4.68,1,17.12,2.75
2024-04-16 03:09:31,38,220,2.12,4,10.21,0.0
2024-04-30 21:36:24,5,238,8.78,2,29.3,0.0
2024-04-11 14:44:00,213,27,9.0,1,30.68,0.0
2024-04-18 22:12:42,120,257,2.21,3,9.0,0.0
2024-04-27 02:04:42,209,142,1.38,4,7.64,2.75
2024-04-23 05:11:26,217,250,2.46,1,13.09,2.75
2024-04-08 13:53:31,24,74,12.26,1,42.42,0.0
2024-04-07 02:23:55,205,199,1.66,5,7.55,0.0
2024-04-08 12:02:23,226,14,14.43,1,43.45,0.0
2024-04-18 08:55:42,218,100,6.49,1,24.66,2.75
2024-04-01 18:15:25,211,91,1.59,1,3.0,2.75
2024-04-01 23:30:54,26,191,5.98,1,21.48,2.75
2024-04-12 00:47:57,252,106,0.68,1,5.51,0.0
2024-04-23 14:52:34,3,7,3.28,2,12.44,2.75
2024-04-28 23:09:42,2,81,2.05,1,9.44,2.75
2024-04-28 10:31:30,92,253,2.45,1,7.21,2.75
2024-04-29 02:33:08,2,140,2.74,2,8.62,2.75
2024-04-07 02:42:58,150,7,2.95,1,8.79,2.75
2024-04-30 22:30:44,71,152,4.24,5,12.91,2.75
2024-04-16 02:36:56,4,126,4.68,1,15.13,2.75
2024-04-30 18:00:06,38,74,13.51,2,42.68,2.75
2024-04-29 07:36:49,70,45,5.54,1,21.12,2.75
2024-04-17 23:08:09,201,17,4.57,1,20.12,2.75
2024-04-01 18:55:48,252,233,2.24,2,7.56,2.75
2024-04-22 03:07:45,154,164,0.94,1,5.17,0.0
2024-04-03 23:15:08,133,63,0.71,1,4.83,2.75
2024-04-10 07:13:11,74,93,2.77,1,9.03,0.0
2024-04-11 09:09:02,185,92,4.36,1,14.65,0.0
2024-04-26 12:08:02,5,42,4.18,1,18.42,0.0
2024-04-07 23:52:45,86,241,11.19,5,38.46,2.75
2024-04-22 15:42:08,214,255,2.19,1,11.71,2.75
2024-04-30 14:24:49,15,71,3.96,2,15.49,0.0
2024-04-21 12:36:55,51,216,8.16,1,28.68,2.75
2024-04-24 18:59:15,253,56,2.31,5,10.16,2.75
2024-04-10 07:51:29,45,79,2.77,1,14.01,2.75
2024-04-18 10:59:09,191,121,9.47,1,25.07,2.75
2024-04-27 16:23:33,122,202,3.3,1,10.21,2.75
2024-04-16 18:48:35,187,257,6.13,2,17.93,2.75
2024-04-15 03:00:05,214,130,10.1,1,31.44,2.75
2024-04-04 03:30:36,149,42,3.46,2,12.99,2.75
2024-04-25 06:05:05,170,74,0.9,2,4.91,0.0
2024-04-27 14:43:55,209,234,6.54,1,20.41,2.75
2024-04-03 06:39:29,82,9,6.46,2,22.22,2.75
2024-04-15 17:15:41,196,31,0.93,1,5.98,2.75
2024-04-13 02:46:37,246,96,3.28,1,13.4,2.75
2024-04-19 08:06:38,40,258,2.84,1,12.54,0.0
2024-04-30 22:03:51,168,229,7.07,2,22.46,2.75
2024-04-07 12:51:25,43,245,1.62,1,9.36,0.0
2024-04-17 05:28:27,211,198,2.44,1,9.68,2.75
2024-04-16 04:22:16,179,232,3.75,1,15.26,2.75
2024-04-12 15:48:13,23,51,3.05,3,10.39,2.75
2024-04-07 17:04:39,95,217,11.36,1,40.01,2.75
2024-04-01 06:27:27,160,174,11.82,1,38.97,0.0
2024-04-13 10:01:16,244,75,0.8,1,5.13,0.0
2024-04-16 07:28:25,17,99,1.74,1,5.29,2.75
2024-04-21 11:00:40,112,1,0.53,1,6.26,2.75
2024-04-30 06:37:47,103,124,2.39,1,7.5,2.75
2024-04-15 20:59:20,86,117,4.3,1,19.83,2.75
2024-04-19 15:28:28,35,195,2.73,1,12.16,2.75
2024-04-22 19:57:02,30,233,0.74,1,3.0,2.75
2024-04-12 07:52:12,192,129,1.26,3,6.71,0.0
2024-04-17 11:57:52,179,63,1.17,1,9.94,2.75
2024-04-01 13:36:24,104,236,3.0,1,11.47,2.75
2024-04-28 18:41:10,165,230,4.46,1,15.16,2.75
2024-04-28 08:04:24,122,190,1.83,5,8.61,2.75
2024-04-18 09:53:04,134,189,0.99,2,3.96,2.75
2024-04-24 12:54:03,224,168,6.11,1,23.5,0.0
2024-04-26 19:41:59,25,95,7.34,1,22.81,0.0
2024-04-21 06:42:06,13,157,1.63,1,8.25,2.75
2024-04-02 13:52:10,230,139,2.41,2,12.23,2.75
2024-04-30 20:05:06,102,191,0.8,1,5.01,0.0
2024-04-21 02:31:35,203,56,1.4,1,9.28,2.75
2024-04-25 10:25:38,222,7,5.6,1,18.92,2.75
2024-04-07 18:49:06,104,51,2.09,1,6.52,0.0
2024-04-25 10:03:38,111,39,3.75,1,15.23,2.75
2024-04-26 19:56:25,69,72,10.73,3,35.36,2.75
2024-04-04 08:16:38,258,256,5.0,1,15.58,0.0
2024-04-22 08:03:20,168,91,2.61,2,10.16,2.75
2024-04-13 11:45:11,49,149,2.1,1,6.85,0.0
2024-04-12 12:41:47,250,30,1.24,3,6.21,2.75
2024-04-05 01:34:39,75,123,5.44,1,23.38,0.0
2024-04-22 15:30:30,201,237,0.92,1,7.18,2.75
2024-04-06 15:59:30,34,125,0.72,1,5.91,2.75
2024-04-24 17:38:51,111,134,0.89,1,5.51,2.75
2024-04-16 07:08:05,237,6,1.47,1,9.01,0.0
2024-04-25 13:21:30,32,197,3.95,2,14.51,2.75
2024-04-27 14:33:36,209,190,7.41,1,21.14,2.75
2024-04-06 16:27:14,132,236,17.68,1,52.86,2.75
2024-04-23 13:11:00,106,79,5.1,2,16.7,2.75
2024-04-02 14:39:42,33,35,1.05,2,4.81,0.0
2024-04-18 14:31:41,43,72,1.64,1,7.47,2.75
2024-04-14 23:15:14,107,43,1.0,5,7.87,2.75
2024-04-03 03:07:44,226,133,0.93,1,6.07,0.0
2024-04-03 11:27:00,179,106,3.44,1,13.18,0.0
2024-04-23 20:03:10,222,159,8.8,1,26.69,2.75
2024-04-11 09:17:01,125,8,4.54,1,15.81,2.75
2024-04-20 14:41:30,167,262,6.14,1,19.68,2.75
2024-04-14 12:22:32,151,80,2.98,2,9.39,0.0
2024-04-27 19:22:01,41,44,2.76,1,4.64,2.75
2024-04-02 10:00:09,35,177,10.2,1,30.73,2.75
2024-04-24 08:11:56,231,64,4.98,2,20.93,2.75
2024-04-28 04:59:30,215,113,2.65,3,12.78,0.0
2024-04-09 21:46:38,101,208,1.92,1,6.55,2.75
2024-04-13 17:09:51,57,226,0.84,2,4.05,2.75
2024-04-11 02:52:51,215,3,6.52,5,27.09,2.75
2024-04-17 21:32:13,156,33,1.15,1,10.71,2.75
2024-04-14 08:40:54,64,214,3.03,1,12.02,0.0
2024-04-12 06:25:48,62,30,4.05,1,16.15,0.0
2024-04-15 01:04:35,62,25,5.27,1,18.91,0.0
2024-04-24 09:38:20,94,28,0.8,1,4.27,0.0
2024-04-12 13:33:58,26,97,0.54,3,4.67,2.75
2024-04-23 07:40:34,121,87,4.78,1,18.1,0.0
2024-04-05 09:33:09,50,26,2.62,1,12.47,0.0
2024-04-30 01:57:47,252,120,1.2,1,6.76,2.75
2024-04-01 12:06:25,36,201,14.57,3,46.84,2.75
2024-04-17 10:25:45,100,15,5.98,1,17.91,2.75
2024-04-26 00:19:56,136,254,3.52,1,11.41,2.75
2024-04-30 09:24:08,194,111,4.74,4,13.1,0.0
2024-04-02 06:25:56,221,8,1.09,1,6.72,2.75
2024-04-19 05:39:17,55,128,11.97,1,37.27,2.75
2024-04-24 20:31:23,110,186,20.16,1,62.58,2.75
2024-04-03 07:37:15,149,14,4.16,1,15.15,2.75
2024-04-25 13:44:51,162,230,4.36,2,16.18,0.0
2024-04-24 06:03:41,187,91,4.77,1,13.0,2.75
2024-04-14 21:44:42,129,4,4.34,1,16.29,2.75
2024-04-07 06:38:55,108,152,2.52,1,9.27,2.75
2024-04-01 21:02:46,68,219,3.22,1,13.92,2.75
2024-04-30 00:07:55,66,76,1.66,4,6.84,2.75
2024-04-29 18:06:53,144,216,2.57,1,8.99,0.0
2024-04-20 16:34:00,53,159,2.51,2,12.31,0.0
2024-04-12 09:25:46,128,251,1.69,1,5.64,2.75
2024-04-18 09:32:45,207,67,5.91,1,19.2,2.75
2024-04-26 20:50:00,216,222,2.34,1,7.67,2.75
2024-04-02 11:32:28,68,192,3.31,5,11.49,0.0
2024-04-19 20:11:20,62,219,1.09,1,9.13,2.75
2024-04-05 15:51:30,210,17,2.76,1,8.36,2.75
2024-04-06 18:37:26,52,107,5.52,1,18.55,2.75
2024-04-30 11:53:41,116,227,2.56,1,11.75,2.75
2024-04-01 06:05:59,65,81,3.36,1,12.13,2.75
2024-04-21 19:39:52,130,166,4.73,1,17.47,0.0
2024-04-23 14:48:29,177,234,2.22,1,8.09,2.75
2024-04-22 06:45:56,163,162,2.03,1,8.38,2.75
2024-04-03 15:29:36,152,175,0.81,2,4.42,2.75
2024-04-27 04:36:30,236,160,3.56,1,12.81,2.75
2024-04-17 00:30:50,158,185,4.8,1,19.25,2.75
2024-04-01 16:58:07,106,174,3.55,1,11.94,2.75
2024-04-12 17:29:03,255,238,1.67,1,8.13,2.75
2024-04-25 02:24:23,113,163,1.56,1,9.1,2.75
2024-04-26 15:26:43,30,238,1.11,3,6.93,0.0
2024-04-18 07:36:16,12,106,0.67,1,3.97,2.75
2024-04-22 19:53:33,177,118,2.45,1,12.55,0.0
2024-04-06 02:09:52,46,232,1.11,4,6.15,2.75
2024-04-01 10:55:53,171,76,4.61,1,18.07,2.75
2024-04-27 12:10:27,130,5,11.92,1,37.2,0.0
2024-04-01 18:08:38,245,218,0.77,1,5.98,2.75
2024-04-09 20:35:13,203,236,8.32,4,28.81,2.75
2024-04-18 17:21:06,226,32,4.25,1,13.72,2.75
2024-04-05 19:48:00,80,177,7.39,1,27.39,2.75
2024-04-09 22:05:46,35,119,1.09,1,8.03,2.75
2024-04-10 09:52:48,52,190,8.79,4,27.79,0.0
2024-04-03 14:34:41,161,102,11.58,1,34.41,2.75
2024-04-17 05:06:44,84,79,8.8,1,28.55,2.75
2024-04-18 03:13:35,26,139,5.89,1,19.97,2.75
2024-04-04 02:52:16,225,226,0.83,1,3.79,2.75
2024-04-28 22:49:36,154,224,1.37,1,5.67,2.75
2024-04-16 02:46:42,95,60,9.05,1,31.31,0.0
2024-04-03 01:23:09,225,48,1.41,4,9.93,0.0
2024-04-19 01:48:49,41,81,2.0,1,10.06,2.75
2024-04-10 16:34:51,133,8,0.68,4,7.04,2.75
2024-04-26 17:26:49,66,249,3.96,1,14.39,2.75
2024-04-15 20:35:43,210,244,3.4,1,9.63,2.75
2024-04-08 21:21:09,153,165,11.92,1,37.16,2.75
2024-04-13 22:50:43,172,187,8.3,1,25.95,2.75
2024-04-26 13:01:43,59,249,2.97,2,13.38,2.75
2024-04-17 13:07:06,184,127,3.79,1,9.67,2.75
2024-04-21 03:38:13,180,88,2.37,2,9.92,2.75
2024-04-30 14:37:11,12,45,1.0,1,5.19,2.75
2024-04-29 12:53:24,68,246,7.58,1,25.96,0.0
2024-04-24 08:36:03,202,218,3.29,1,10.46,2.75
2024-04-02 05:28:01,6,15,2.44,1,12.15,2.75
2024-04-20 05:38:29,15,256,0.75,1,5.1,0.0
2024-04-02 06:34:38,42,177,4.33,2,13.24,2.75
2024-04-23 04:07:11,31,215,2.29,2,7.41,0.0
2024-04-25 12:50:23,181,25,1.52,2,6.2,2.75
2024-04-17 23:29:36,262,117,7.83,1,27.06,2.75
2024-04-17 06:01:44,21,80,1.21,1,4.61,2.75
2024-04-24 05:49:47,182,175,3.03,1,12.8,2.75
2024-04-20 04:51:06,184,232,6.06,4,20.59,2.75
2024-04-25 20:53:35,244,40,7.12,4,26.83,2.75
2024-04-04 14:39:15,149,171,6.48,1,20.77,0.0
2024-04-26 13:48:19,256,117,8.44,4,27.71,2.75
2024-04-11 12:58:01,100,184,1.04,3,7.38,0.0
2024-04-19 14:33:38,55,81,10.37,1,31.93,0.0
2024-04-02 15:34:43,186,71,0.54,1,3.0,2.75
2024-04-24 12:49:10,86,140,1.53,1,4.77,2.75
2024-04-27 18:13:07,174,193,0.81,2,6.1,2.75
2024-04-05 15:38:16,22,171,10.69,1,31.68,0.0
2024-04-26 06:07:28,244,101,2.43,1,10.36,2.75
2024-04-06 12:31:35,60,70,1.83,1,6.59,2.75
2024-04-01 19:48:15,104,174,1.14,1,4.53,2.75
2024-04-09 14:39:34,139,189,1.09,1,3.0,2.75
2024-04-11 06:25:21,159,215,3.83,4,13.79,0.0
2024-04-13 05:32:11,232,25,0.67,1,3.02,2.75
2024-04-10 13:23:36,77,89,3.66,2,13.05,2.75
2024-04-05 08:05:05,18,131,5.72,1,19.25,0.0
2024-04-22 11:48:46,22,196,3.72,2,17.12,2.75
2024-04-20 04:47:25,184,225,6.63,1,20.56,2.75
2024-04-24 10:59:53,145,149,1.58,5,8.25,2.75
2024-04-07 10:03:14,38,71,0.78,1,4.15,2.75
2024-04-02 17:01:58,143,129,4.97,1,18.58,0.0
2024-04-08 11:14:23,13,87,6.66,3,22.11,2.75
2024-04-26 12:24:24,186,18,2.94,1,14.87,2.75
2024-04-02 16:57:23,97,43,6.51,1,21.91,2.75
2024-04-18 13:59:23,1,76,2.64,1,10.62,2.75
2024-04-05 07:46:56,27,41,1.27,1,8.69,2.75
2024-04-08 22:49:36,36,259,2.75,2,10.03,2.75
2024-04-17 08:54:07,160,24,1.35,1,8.61,0.0
2024-04-29 14:43:09,31,109,2.74,2,13.11,2.75
2024-04-02 08:43:16,127,27,1.06,5,4.57,2.75
2024-04-15 08:44:42,262,126,1.22,5,7.77,2.75
2024-04-12 11:03:18,210,170,8.01,1,24.61,2.75
2024-04-09 01:59:36,150,47,0.93,1,5.71,0.0
2024-04-28 09:24:56,31,181,1.39,1,5.36,2.75
2024-04-29 16:05:54,100,73,19.43,2,60.65,0.0
2024-04-09 01:53:22,219,122,3.5,1,14.37,2.75
2024-04-19 09:06:55,253,186,3.59,1,15.52,0.0
2024-04-19 06:39:19,171,82,7.02,1,18.89,2.75
2024-04-11 12:01:57,257,30,3.1,3,10.06,0.0
2024-04-29 18:22:47,57,121,1.38,1,9.35,2.75
2024-04-04 17:13:04,9,106,2.42,1,9.76,2.75
2024-04-22 09:06:31,5,130,5.42,1,18.7,0.0
2024-04-18 00:38:11,114,205,7.71,1,27.62,2.75
2024-04-08 17:37:14,173,53,1.62,1,3.0,0.0
2024-04-05 09:08:00,220,189,1.56,1,5.19,2.75
2024-04-25 15:37:43,205,215,1.89,1,10.15,2.75
2024-04-10 03:59:31,24,31,3.67,4,10.15,2.75
2024-04-06 19:12:37,170,258,1.64,1,7.49,2.75
