datetime,city,season,weather_situation,temp,atemp,humidity,windspeed,casual,registered,cnt
2024-01-01 00:00:00,chennai,4,1,21.8,24.27,81.26,15.82,4,22,26
2024-01-01 01:00:00,chennai,4,1,20.64,20.84,85.26,17.14,4,26,30
2024-01-01 02:00:00,chennai,4,1,21.45,21.76,77.71,19.65,9,36,45
2024-01-01 03:00:00,chennai,4,3,22.63,24.71,90.14,16.81,5,17,22
2024-01-01 04:00:00,chennai,4,1,20.92,22.36,70.42,22.41,9,31,40
2024-01-01 05:00:00,chennai,4,1,21.56,22.61,86.35,16.9,6,54,60
2024-01-01 06:00:00,chennai,4,1,24.56,27.08,76.77,23.75,11,46,57
2024-01-01 07:00:00,chennai,4,2,24.56,26.24,79.6,11.07,16,95,111
2024-01-01 08:00:00,chennai,4,1,24.11,25.66,73.82,13.46,50,185,235
2024-01-01 09:00:00,chennai,4,2,26.36,28.64,71.14,35.52,52,165,217
2024-01-01 10:00:00,chennai,4,2,26.11,27.24,69.77,15.72,5,103,108
2024-01-01 11:00:00,chennai,4,1,26.94,30.01,68.97,20.55,8,44,52
2024-01-01 12:00:00,chennai,4,2,28.42,29.14,61.7,10.15,4,31,35
2024-01-01 13:00:00,chennai,4,1,26.24,28.39,67.51,20.27,4,33,37
2024-01-01 14:00:00,chennai,4,1,26.6,29.53,56.58,15.98,2,21,23
2024-01-01 15:00:00,chennai,4,2,27.86,27.98,62.31,10.94,6,44,50
2024-01-01 16:00:00,chennai,4,1,26.92,28.08,67.52,10.13,19,120,139
2024-01-01 17:00:00,chennai,4,3,27.88,30.52,69.9,11.51,17,111,128
2024-01-01 18:00:00,chennai,4,1,25.58,28.24,69.3,22.37,13,251,264
2024-01-01 19:00:00,chennai,4,2,24.01,25.34,67.44,15.52,19,103,122
2024-01-01 20:00:00,chennai,4,1,26.43,27.19,76.48,22.6,7,26,33
2024-01-01 21:00:00,chennai,4,2,23.36,25.82,71.24,12.95,3,19,22
2024-01-01 22:00:00,chennai,4,1,22.75,25.43,85.76,23.79,2,22,24
2024-01-01 23:00:00,chennai,4,1,20.13,20.47,78.65,13.11,4,24,28
2024-01-02 00:00:00,chennai,4,1,20.55,20.85,72.96,11.14,7,29,36
2024-01-02 01:00:00,chennai,4,1,20.94,22.66,75.69,10.82,5,29,34
2024-01-02 02:00:00,chennai,4,2,19.29,21.42,82.22,35.43,3,23,26
2024-01-02 03:00:00,chennai,4,1,21.26,22.46,82.36,12.03,4,34,38
2024-01-02 04:00:00,chennai,4,3,20.49,22.66,90.51,10.87,6,24,30
2024-01-02 05:00:00,chennai,4,1,21.49,22.28,73.88,10.04,7,46,53
2024-01-02 06:00:00,chennai,4,1,21.95,21.33,77.2,11.68,8,56,64
2024-01-02 07:00:00,chennai,4,1,25.86,26.93,69.29,21.0,15,114,129
2024-01-02 08:00:00,chennai,4,2,24.65,26.22,69.54,13.82,37,192,229
2024-01-02 09:00:00,chennai,4,2,24.44,25.66,77.83,15.0,34,182,216
2024-01-02 10:00:00,chennai,4,1,27.66,28.0,61.32,22.78,20,109,129
2024-01-02 11:00:00,chennai,4,1,26.03,25.72,67.86,13.6,7,62,69
2024-01-02 12:00:00,chennai,4,2,28.38,29.37,65.3,19.11,2,23,25
2024-01-02 13:00:00,chennai,4,1,26.18,28.58,62.22,11.96,3,26,29
2024-01-02 14:00:00,chennai,4,1,27.08,29.83,64.6,28.88,6,29,35
2024-01-02 15:00:00,chennai,4,1,28.77,31.46,56.54,10.41,9,44,53
2024-01-02 16:00:00,chennai,4,1,29.02,29.7,71.62,16.45,32,112,144
2024-01-02 17:00:00,chennai,4,1,27.7,28.05,74.55,15.4,28,231,259
2024-01-02 18:00:00,chennai,4,1,26.53,28.53,67.24,11.06,45,198,243
2024-01-02 19:00:00,chennai,4,2,25.34,27.48,81.53,12.46,8,110,118
2024-01-02 20:00:00,chennai,4,1,22.9,24.8,70.0,11.88,7,35,42
2024-01-02 21:00:00,chennai,4,1,22.77,22.26,76.59,10.5,2,31,33
2024-01-02 22:00:00,chennai,4,1,22.12,22.75,84.16,14.39,2,15,17
2024-01-02 23:00:00,chennai,4,1,23.11,24.58,76.78,35.31,8,32,40
2024-01-03 00:00:00,chennai,4,2,21.62,23.61,73.75,14.1,5,24,29
2024-01-03 01:00:00,chennai,4,2,18.69,20.96,73.6,13.94,4,29,33
2024-01-03 02:00:00,chennai,4,3,21.06,22.7,92.3,10.21,2,19,21
2024-01-03 03:00:00,chennai,4,1,20.34,22.17,79.01,10.75,6,32,38
2024-01-03 04:00:00,chennai,4,1,20.39,21.98,79.73,13.6,9,48,57
2024-01-03 05:00:00,chennai,4,2,22.58,24.76,73.51,31.06,6,26,32
2024-01-03 06:00:00,chennai,4,2,23.91,25.72,81.74,20.46,4,58,62
2024-01-03 07:00:00,chennai,4,1,24.75,26.32,70.68,12.08,24,109,133
